
Predictions were generated on 27-Apr-2026 at 13:06:40 using OpenFAST, compiled on Mar 13 2026 at 19:00:22 as a 64-bit application using single precision at commit v5.0.0
 linked with  NWTC Subroutine Library; ElastoDyn

Description from the FAST input file: FAST Certification Test #18: NREL 5.0 MW Baseline Wind Turbine (Onshore)

Time	ConvIter	ConvError	NumUJac	Q_B1F1	Q_GeAz	Q_TFA1	Q_TSS1	Q_TFA2	Q_TSS2	OoPDefl1	IPDefl1	TwstDefl1	BldPitch1	Azimuth	RotSpeed	GenSpeed	TTDspFA	TTDspSS	TTDspTwst	Spn2MLxb1	Spn2MLyb1	RootFxb1	RootFyb1	RootFzb1	RootMxb1	RootMyb1	RootMzb1	RotTorq	LSSGagMya	LSSGagMza	YawBrFxp	YawBrFyp	YawBrFzp	YawBrMxp	YawBrMyp	YawBrMzp	TwrBsFxt	TwrBsFyt	TwrBsFzt	TwrBsMxt	TwrBsMyt	TwrBsMzt
(s)	(-)	(-)	(-)	(m)	(rad)	(m)	(m)	(m)	(m)	(m)	(m)	(deg)	(deg)	(deg)	(rpm)	(rpm)	(m)	(m)	(deg)	(kN-m)	(kN-m)	(kN)	(kN)	(kN)	(kN-m)	(kN-m)	(kN-m)	(kN-m)	(kN-m)	(kN-m)	(kN)	(kN)	(kN)	(kN-m)	(kN-m)	(kN-m)	(kN)	(kN)	(kN)	(kN-m)	(kN-m)	(kN-m)
    0.1188	3.000000	.7183311E-08	.000000	.8619566E-03	4.862866	.000000	.000000	.2281865E-03	.000000	.8629976E-03	-.6349672E-15	.000000	.000000	8.621693	12.10184	1173.878	.2281865E-03	.000000	.000000	3.780422	15.25414	1.305312	-.5175157	16.24611	15.51696	50.69047	-.1139845E-03	15.91071	-952.6760	159.1636	21.62977	-2.953333	-2898.159	23.56269	1909.842	22.40025	-40.02666	-2.953333	-6305.584	282.2792	771.3478	22.39488
    0.1250	3.000000	.3535762E-07	.000000	.7732722E-03	4.870787	.000000	.000000	.2426654E-03	.000000	.7742061E-03	-.2371269E-16	.000000	.000000	9.075518	12.10203	1173.897	.2426654E-03	.000000	.000000	3.963192	13.58720	1.233967	-.5428820	16.25953	16.27274	46.70635	-.1072061E-03	16.68591	-953.0872	167.0492	25.36467	-3.106849	-2898.905	24.67529	1922.338	22.87086	-48.41451	-3.106849	-6306.333	296.8401	518.2675	22.86488
    0.1313	3.000000	.6655069E-07	.000000	.7392861E-03	4.878707	.000000	.000000	.2560089E-03	.000000	.7401790E-03	-.1350055E-14	.000000	.000000	9.529343	12.10223	1173.916	.2560089E-03	.000000	.000000	4.144591	12.94982	1.216725	-.5681576	16.27240	17.02463	45.40432	-.1089150E-03	17.45716	-950.9036	174.9215	28.78749	-3.260479	-2899.585	25.81803	1936.053	23.72827	-55.94795	-3.260479	-6307.019	311.4413	296.0720	23.72166
    0.1375	3.000000	.5753530E-07	.000000	.7834990E-03	4.886628	.000000	.000000	.2680476E-03	.000000	.7844452E-03	.6743483E-16	.000000	.000000	9.983168	12.10244	1173.937	.2680476E-03	.000000	.000000	4.325910	13.77122	1.276613	-.5934399	16.28458	17.77651	47.91304	-.1187613E-03	18.22842	-945.0032	182.7939	31.85150	-3.414500	-2900.187	27.01876	1951.864	25.23972	-62.45123	-3.414500	-6307.624	326.1349	112.4140	25.23248
    0.1438	3.000000	.6657103E-07	.000000	.9004869E-03	4.894549	.000000	.000000	.2786332E-03	.000000	.9015744E-03	.9756151E-15	.000000	.000000	10.43702	12.10266	1173.958	.2786332E-03	.000000	.000000	4.508453	15.94216	1.407532	-.6188201	16.29599	18.53220	53.93996	-.1437504E-03	19.00355	-935.7067	190.6766	34.52050	-3.568990	-2900.705	28.28480	1969.309	27.44312	-67.86488	-3.568990	-6308.143	340.9350	-31.65969	27.43525
    0.1500	3.000000	.7687933E-07	.000000	.1057839E-02	4.902471	.000000	.000000	.2876401E-03	.000000	.1059117E-02	.1336516E-15	.000000	.000000	10.89087	12.10289	1173.981	.2876401E-03	.000000	.000000	4.693137	18.85397	1.576372	-.6443576	16.30667	19.29433	61.87452	-.1739577E-03	19.78520	-924.6709	198.5760	36.76846	-3.723780	-2901.139	29.59844	1986.702	30.10994	-72.23820	-3.723780	-6308.582	355.8091	-141.2323	30.10144
    0.1562	3.000000	.4807938E-07	.000000	.1207599E-02	4.910392	.000000	.000000	.2949653E-03	.000000	.1209058E-02	-.4493476E-15	.000000	.000000	11.34472	12.10313	1174.004	.2949653E-03	.000000	.000000	4.880296	21.61349	1.734645	-.6700769	16.31668	20.06387	69.35559	-.2064587E-03	20.57434	-914.3135	206.4950	38.57737	-3.878499	-2901.492	30.92208	2001.678	32.80737	-75.68729	-3.878499	-6308.937	370.6870	-225.0175	32.79826
    0.1625	3.000000	.4314693E-07	.000000	.1303129E-02	4.918314	.000000	.000000	.3005264E-03	.000000	.1304703E-02	.1098678E-14	.000000	.000000	11.79860	12.10338	1174.028	.3005264E-03	.000000	.000000	5.069643	23.35725	1.835498	-.6959668	16.32610	20.84015	74.10096	-.2315563E-03	21.37032	-906.9685	214.4355	39.93409	-4.032693	-2901.768	32.21110	2011.984	35.04337	-78.33358	-4.032693	-6309.216	385.4842	-291.6899	35.03371
    0.1688	3.000000	.8333525E-07	.000000	.1315438E-02	4.926235	.000000	.000000	.3042613E-03	.000000	.1317026E-02	-.1634276E-14	.000000	.000000	12.25248	12.10364	1174.053	.3042613E-03	.000000	.000000	5.260533	23.55379	1.850082	-.7219986	16.33497	21.62159	74.70575	-.2435274E-03	22.17155	-904.0743	222.4006	40.82742	-4.185992	-2901.969	33.43057	2016.231	36.44490	-80.24505	-4.185992	-6309.418	400.1332	-346.3773	36.43475
    0.1750	3.000000	.8070238E-07	.000000	.1243238E-02	4.934157	.000000	.000000	.3061265E-03	.000000	.1244739E-02	.4668659E-15	.000000	.000000	12.70639	12.10391	1174.079	.3061265E-03	.000000	.000000	5.452226	22.18795	1.777531	-.7481515	16.34329	22.40657	71.12894	-.2383926E-03	22.97641	-905.6782	230.3971	41.24652	-4.338250	-2902.093	34.56913	2014.355	36.90364	-81.40084	-4.338250	-6309.542	414.6096	-388.5452	36.89308
    0.1813	3.000000	.1569668E-06	.000000	.1113215E-02	4.942080	.000000	.000000	.3060979E-03	.000000	.1114559E-02	.2498122E-14	.000000	.000000	13.16027	12.10419	1174.106	.3060979E-03	.000000	.000000	5.644319	19.76290	1.645079	-.7744266	16.35096	23.19449	64.69891	-.2210821E-03	23.78432	-910.4307	238.4359	41.18142	-4.489605	-2902.134	35.64503	2007.606	36.63187	-81.69189	-4.489605	-6309.583	428.9442	-412.0104	36.62098
    0.1875	3.000000	.1282213E-06	.000000	.9704875E-03	4.950002	.000000	.000000	.3041728E-03	.000000	.9716596E-03	.6979399E-15	.000000	.000000	13.61421	12.10448	1174.134	.3041728E-03	.000000	.000000	5.836927	17.12024	1.498321	-.8008633	16.35789	23.98626	57.63849	-.1981637E-03	24.59622	-916.0684	246.5312	40.62520	-4.640450	-2902.084	36.70129	1998.091	36.10176	-80.95702	-4.640450	-6309.533	443.2142	-407.0751	36.09061
    0.1938	3.000000	.1295209E-06	.000000	.8626561E-03	4.957924	.000000	.000000	.3003717E-03	.000000	.8636980E-03	.1163029E-14	.000000	.000000	14.06811	12.10477	1174.163	.3003717E-03	.000000	.000000	6.030766	15.14250	1.385107	-.8275312	16.36396	24.78432	52.27941	-.1823183E-03	25.41460	-920.2122	254.6978	39.57715	-4.791288	-2901.936	37.79128	1988.035	35.88372	-79.04138	-4.791288	-6309.383	457.5175	-363.9952	35.87237
    0.2000	3.000000	.2093533E-06	.000000	.8230909E-03	4.965847	.000000	.000000	.2947410E-03	.000000	.8240850E-03	.5019737E-15	.000000	.000000	14.52205	12.10508	1174.193	.2947410E-03	.000000	.000000	6.226912	14.44333	1.338763	-.8545131	16.36913	25.59196	50.24421	-.1797356E-03	26.24280	-921.2009	262.9477	38.04585	-4.942553	-2901.686	38.95951	1979.010	36.43880	-75.85701	-4.942553	-6309.131	471.9365	-276.5826	36.42732
    0.2063	3.000000	.1268718E-06	.000000	.8593422E-03	4.973770	.000000	.000000	.2873538E-03	.000000	.8603800E-03	.2133007E-14	.000000	.000000	14.97601	12.10540	1174.223	.2873538E-03	.000000	.000000	6.426485	15.15433	1.366546	-.8818797	16.37343	26.41233	51.88334	-.1948281E-03	27.08400	-918.6617	271.2871	36.05090	-5.094435	-2901.338	40.22466	1971.417	37.94028	-71.42341	-5.094435	-6308.780	486.5067	-144.6383	37.92872
